"調査年月日","都道府県名","市区町村名","市町村コード","行政区コード","行政区名","0－4歳","5－9歳","10－14歳","15－19歳","20－24歳","25－29歳","30－34歳","35－39歳","40－44歳","45－49歳","50－54歳","55－59歳","60－64歳","65－69歳","70－74歳","75－79歳","80－84歳","85－89歳","90－94歳","95－99歳","100歳以上","計","世帯数"
"2019/04/01","京都府","舞鶴市","262021","904","敷野","4","11","16","12","10","11","5","14","17","24","16","20","11","18","14","14","12","6","7","0","0","242","109"
"2019/04/01","京都府","舞鶴市","262021","905","川西","5","9","10","3","3","3","5","9","12","13","5","13","5","6","13","11","7","7","10","1","1","151","78"
"2019/04/01","京都府","舞鶴市","262021","907","白鳥団地","31","43","37","45","26","22","27","29","37","27","31","41","26","24","26","51","27","14","6","1","0","571","278"
"2019/04/01","京都府","舞鶴市","262021","908","丸山口","3","10","13","11","5","7","3","13","11","17","10","12","5","9","6","10","3","5","4","3","0","160","70"
"2019/04/01","京都府","舞鶴市","262021","909","丸山中町","16","25","25","16","12","15","13","21","36","26","21","21","13","17","20","29","23","10","4","1","0","364","162"
"2019/04/01","京都府","舞鶴市","262021","910","丸山","29","22","7","15","18","21","21","16","26","25","23","13","18","16","17","26","9","9","2","3","0","336","148"
"2019/04/01","京都府","舞鶴市","262021","911","愛宕","12","18","11","17","11","12","11","14","27","14","12","14","14","13","26","12","17","7","7","1","2","272","115"
"2019/04/01","京都府","舞鶴市","262021","912","森日の出","9","7","5","11","9","11","9","14","9","21","16","28","10","23","20","22","12","11","6","4","1","258","135"
"2019/04/01","京都府","舞鶴市","262021","913","日の出団地","0","0","3","4","4","6","3","4","4","5","7","9","8","13","13","9","1","5","0","0","0","98","67"
"2019/04/01","京都府","舞鶴市","262021","914","森宮","2","3","9","17","8","12","8","10","20","19","8","11","7","20","21","13","15","12","4","1","0","220","107"
"2019/04/01","京都府","舞鶴市","262021","915","大森","3","11","10","3","5","7","8","8","15","15","10","8","12","17","25","9","9","3","3","3","0","184","107"
"2019/04/01","京都府","舞鶴市","262021","916","森大和","11","5","8","2","7","6","2","13","12","5","7","8","4","11","13","13","9","4","3","1","1","145","74"
"2019/04/01","京都府","舞鶴市","262021","917","緑が丘","5","7","10","11","15","5","6","14","17","14","21","14","11","10","27","17","10","3","1","1","0","219","112"
"2019/04/01","京都府","舞鶴市","262021","918","丸山西町","9","8","10","17","8","15","18","9","13","15","17","16","6","16","17","32","21","10","5","2","0","264","124"
"2019/04/01","京都府","舞鶴市","262021","919","井尻東","13","14","12","4","4","8","16","16","20","13","7","9","12","19","21","16","11","11","4","1","0","231","107"
"2019/04/01","京都府","舞鶴市","262021","920","井尻西","12","12","6","20","22","14","17","18","25","28","37","17","28","27","27","22","24","13","5","0","2","376","187"
"2019/04/01","京都府","舞鶴市","262021","921","森三本木","24","27","28","16","14","25","39","29","37","23","20","31","33","16","30","25","17","3","1","0","1","439","192"
"2019/04/01","京都府","舞鶴市","262021","922","森駒ヶ谷","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","923","大田野","2","4","2","2","1","5","5","4","5","6","7","8","16","10","7","3","4","2","2","0","0","95","51"
"2019/04/01","京都府","舞鶴市","262021","924","エルドラード三本木","13","3","4","0","1","2","11","6","2","5","1","3","0","0","1","2","0","0","0","0","0","54","18"
"2019/04/01","京都府","舞鶴市","262021","1001","片山新町","0","0","1","1","0","0","0","2","0","3","1","0","2","3","2","0","1","1","1","0","0","18","11"
"2019/04/01","京都府","舞鶴市","262021","1002","片山南","0","0","0","0","2","0","0","4","2","1","0","3","2","8","3","1","1","1","0","0","0","28","19"
"2019/04/01","京都府","舞鶴市","262021","1003","元川東","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","3","2"
"2019/04/01","京都府","舞鶴市","262021","1004","祭掛","11","7","5","1","5","17","12","12","18","13","16","12","8","5","9","11","4","5","1","0","0","172","97"
"2019/04/01","京都府","舞鶴市","262021","1005","行永板ガラス社宅","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019/04/01","京都府","舞鶴市","262021","1006","大迫新町","12","15","20","11","18","6","18","13","30","31","25","20","11","33","35","37","37","29","12","0","0","413","221"
"2019/04/01","京都府","舞鶴市","262021","1007","三安団地","3","3","2","1","1","4","5","4","3","6","3","1","6","2","1","5","2","0","0","1","0","53","26"
"2019/04/01","京都府","舞鶴市","262021","1008","大迫団地","0","0","1","2","5","3","2","3","6","5","7","6","12","10","9","7","4","3","0","0","1","86","58"
"2019/04/01","京都府","舞鶴市","262021","1010","大宮","23","20","16","26","28","24","38","23","33","37","40","27","35","34","37","37","20","15","7","1","0","521","275"
"2019/04/01","京都府","舞鶴市","262021","1011","金屋","4","11","28","30","17","6","11","22","36","43","24","15","23","32","25","22","17","14","6","3","0","389","180"
"2019/04/01","京都府","舞鶴市","262021","1012","東幸野","1","3","8","8","3","5","5","7","11","7","9","6","15","9","13","19","9","8","2","0","1","149","78"
"2019/04/01","京都府","舞鶴市","262021","1013","芥子谷口","2","4","7","0","0","1","2","4","6","6","3","4","0","3","4","10","13","6","0","1","0","76","34"
"2019/04/01","京都府","舞鶴市","262021","1014","幸野","13","22","27","24","32","32","30","31","29","44","39","29","24","39","41","44","27","24","10","2","0","563","259"
"2019/04/01","京都府","舞鶴市","262021","1015","古川","17","16","35","41","17","16","14","26","35","51","31","18","14","18","23","28","20","9","8","1","0","438","192"
"2019/04/01","京都府","舞鶴市","262021","1016","正巳","7","18","12","21","11","17","10","20","26","23","21","18","11","17","25","20","22","15","9","2","0","325","161"
"2019/04/01","京都府","舞鶴市","262021","1017","桜木","27","25","22","19","11","26","25","30","36","20","18","13","12","12","23","18","18","11","2","2","1","371","160"
"2019/04/01","京都府","舞鶴市","262021","1018","元川新町","25","27","21","12","8","14","18","36","25","19","9","12","7","15","13","13","11","10","1","0","0","296","116"
"2019/04/01","京都府","舞鶴市","262021","1019","元川中町","10","3","11","13","3","8","15","14","13","14","15","11","12","12","16","7","3","3","3","0","0","186","95"
"2019/04/01","京都府","舞鶴市","262021","1020","元川本町","8","7","9","3","2","4","6","7","12","6","3","9","5","11","13","8","8","6","6","0","0","133","63"
"2019/04/01","京都府","舞鶴市","262021","1021","明富下","8","9","12","11","4","5","11","13","23","16","10","12","9","16","10","15","10","18","2","2","0","216","107"
"2019/04/01","京都府","舞鶴市","262021","1022","上明富","13","9","5","6","12","15","17","13","16","20","5","2","6","6","10","12","2","5","2","1","0","177","101"
"2019/04/01","京都府","舞鶴市","262021","1023","竹道","5","4","7","14","6","1","4","9","19","16","6","13","11","16","32","16","8","11","6","2","0","206","104"
"2019/04/01","京都府","舞鶴市","262021","1024","御幸","26","25","23","24","31","21","29","30","32","28","38","34","29","39","34","20","23","18","5","3","0","512","220"
"2019/04/01","京都府","舞鶴市","262021","1025","医療センター","2","1","0","5","7","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","30","26"
"2019/04/01","京都府","舞鶴市","262021","1026","サンケイ団地","3","6","5","15","8","9","4","5","9","11","15","14","13","9","10","12","18","9","1","0","0","176","93"
"2019/04/01","京都府","舞鶴市","262021","1027","芥子谷団地","2","7","5","5","7","1","5","6","13","13","14","6","14","19","27","26","11","7","5","1","0","194","133"
"2019/04/01","京都府","舞鶴市","262021","1028","八反田南","37","42","49","52","47","44","35","51","61","71","75","51","46","78","60","32","15","2","4","3","0","855","365"
"2019/04/01","京都府","舞鶴市","262021","1029","八反田北","42","32","28","25","25","26","34","34","58","43","34","26","20","36","17","17","4","8","1","1","0","511","213"
"2019/04/01","京都府","舞鶴市","262021","1030","行永桜通り","44","80","60","46","7","4","22","56","71","45","21","7","1","6","3","3","0","1","0","0","0","477","126"
